id,collected_at,rate_date,series_key,series_label,rate,source
239,2026-06-13T20:30:40.292147,2026-05-15,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
488,2026-06-13T20:17:19.985343,2026-05-13,gov_bond_2y,Statsobligation 2 år,2.349,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
991,2026-06-13T20:30:40.587188,2026-05-13,gov_bond_5y,Statsobligation 5 år,2.536,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
238,2026-06-13T20:30:40.290983,2026-05-13,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
487,2026-06-13T20:17:19.984049,2026-05-12,gov_bond_2y,Statsobligation 2 år,2.363,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
990,2026-06-13T20:30:40.585952,2026-05-12,gov_bond_5y,Statsobligation 5 år,2.549,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
237,2026-06-13T20:30:40.289911,2026-05-12,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
486,2026-06-13T20:17:19.982818,2026-05-11,gov_bond_2y,Statsobligation 2 år,2.306,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
989,2026-06-13T20:30:40.584852,2026-05-11,gov_bond_5y,Statsobligation 5 år,2.488,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
236,2026-06-13T20:30:40.288810,2026-05-11,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
485,2026-06-13T20:17:19.981565,2026-05-08,gov_bond_2y,Statsobligation 2 år,2.212,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
988,2026-06-13T20:30:40.583652,2026-05-08,gov_bond_5y,Statsobligation 5 år,2.425,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
235,2026-06-13T20:30:40.287652,2026-05-08,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
484,2026-06-13T20:17:19.980323,2026-05-07,gov_bond_2y,Statsobligation 2 år,2.208,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
987,2026-06-13T20:30:40.582519,2026-05-07,gov_bond_5y,Statsobligation 5 år,2.413,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
234,2026-06-13T20:30:40.286381,2026-05-07,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
