id,collected_at,rate_date,bank,period_key,period_label,rate,source_url
404,2026-06-17T11:09:51.859236,2026-06-17,Handelsbanken,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
382,2026-06-17T11:09:46.997687,2026-06-17,Handelsbanken,5_ar,5 år,3.6,https://www.compricer.se/bolan/
374,2026-06-17T11:09:51.547037,2026-06-17,Hypoteket,1_ar,1 år,3.69,https://www.finansportalen.se/bolan/
375,2026-06-17T11:09:51.549347,2026-06-17,Hypoteket,2_ar,2 år,3.85,https://www.finansportalen.se/bolan/
373,2026-06-17T11:09:51.545636,2026-06-17,Hypoteket,3_man,3 månader,3.31,https://www.finansportalen.se/bolan/
376,2026-06-17T11:09:46.989431,2026-06-17,Hypoteket,5_ar,5 år,3.93,https://www.compricer.se/bolan/
371,2026-06-17T11:09:51.770897,2026-06-17,ICA Banken,1_ar,1 år,3.9,https://www.finansportalen.se/bolan/
372,2026-06-17T11:09:51.772500,2026-06-17,ICA Banken,2_ar,2 år,4.15,https://www.finansportalen.se/bolan/
370,2026-06-17T11:09:51.628533,2026-06-17,ICA Banken,3_man,3 månader,3.48,https://www.finansportalen.se/bolan/
411,2026-06-17T11:09:52.260205,2026-06-17,Länsförsäkringar,1_ar,1 år,3.59,https://www.finansportalen.se/bolan/
412,2026-06-17T11:09:52.261483,2026-06-17,Länsförsäkringar,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
410,2026-06-17T11:09:52.258908,2026-06-17,Länsförsäkringar,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
387,2026-06-17T11:09:51.542672,2026-06-17,SBAB,1_ar,1 år,3.47,https://www.finansportalen.se/bolan/
388,2026-06-17T11:09:51.544150,2026-06-17,SBAB,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
386,2026-06-17T11:09:51.541133,2026-06-17,SBAB,3_man,3 månader,3.15,https://www.finansportalen.se/bolan/
408,2026-06-17T11:09:52.256312,2026-06-17,SEB,1_ar,1 år,3.54,https://www.finansportalen.se/bolan/
409,2026-06-17T11:09:52.257633,2026-06-17,SEB,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
407,2026-06-17T11:09:52.254982,2026-06-17,SEB,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
378,2026-06-17T11:09:51.794141,2026-06-17,Skandia,1_ar,1 år,3.83,https://www.finansportalen.se/bolan/
379,2026-06-17T11:09:51.795531,2026-06-17,Skandia,2_ar,2 år,4.02,https://www.finansportalen.se/bolan/
380,2026-06-17T11:09:46.994969,2026-06-17,Skandia,3_ar,3 år,3.42,https://www.compricer.se/bolan/
377,2026-06-17T11:09:51.792579,2026-06-17,Skandia,3_man,3 månader,3.55,https://www.finansportalen.se/bolan/
381,2026-06-17T11:09:46.996367,2026-06-17,Skandia,5_ar,5 år,3.64,https://www.compricer.se/bolan/
356,2026-06-17T11:09:51.394503,2026-06-17,Stabelo,1_ar,1 år,2.98,https://www.finansportalen.se/bolan/
357,2026-06-17T11:09:51.539480,2026-06-17,Stabelo,2_ar,2 år,3.22,https://www.finansportalen.se/bolan/
358,2026-06-17T11:09:46.778572,2026-06-17,Stabelo,3_ar,3 år,3.34,https://www.compricer.se/bolan/
355,2026-06-17T11:09:51.052254,2026-06-17,Stabelo,3_man,3 månader,2.66,https://www.finansportalen.se/bolan/
359,2026-06-17T11:09:46.780022,2026-06-17,Stabelo,5_ar,5 år,3.49,https://www.compricer.se/bolan/
361,2026-06-17T11:09:51.856263,2026-06-17,Swedbank,1_ar,1 år,3.49,https://www.finansportalen.se/bolan/
362,2026-06-17T11:09:51.857757,2026-06-17,Swedbank,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
363,2026-06-17T11:09:46.785305,2026-06-17,Swedbank,3_ar,3 år,3.09,https://www.compricer.se/bolan/
360,2026-06-17T11:09:51.854738,2026-06-17,Swedbank,3_man,3 månader,3.89,https://www.finansportalen.se/bolan/
364,2026-06-17T11:09:46.786576,2026-06-17,Swedbank,5_ar,5 år,3.48,https://www.compricer.se/bolan/
255,2026-06-16T11:24:51.371396,2026-06-16,Danske Bank,1_ar,1 år,3.39,https://www.finansportalen.se/bolan/
256,2026-06-16T11:24:51.372903,2026-06-16,Danske Bank,2_ar,2 år,3.56,https://www.finansportalen.se/bolan/
257,2026-06-16T11:24:48.344376,2026-06-16,Danske Bank,3_ar,3 år,3.18,https://www.compricer.se/bolan/
254,2026-06-16T11:24:51.369944,2026-06-16,Danske Bank,3_man,3 månader,3.84,https://www.finansportalen.se/bolan/
258,2026-06-16T11:24:48.345778,2026-06-16,Danske Bank,5_ar,5 år,3.03,https://www.compricer.se/bolan/
289,2026-06-16T11:24:51.380748,2026-06-16,Handelsbanken,1_ar,1 år,3.64,https://www.finansportalen.se/bolan/
290,2026-06-16T11:24:51.382644,2026-06-16,Handelsbanken,2_ar,2 år,3.74,https://www.finansportalen.se/bolan/
288,2026-06-16T11:24:51.379363,2026-06-16,Handelsbanken,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
266,2026-06-16T11:24:48.358795,2026-06-16,Handelsbanken,5_ar,5 år,3.6,https://www.compricer.se/bolan/
263,2026-06-16T11:24:51.358375,2026-06-16,Hypoteket,1_ar,1 år,3.69,https://www.finansportalen.se/bolan/
264,2026-06-16T11:24:51.359791,2026-06-16,Hypoteket,2_ar,2 år,3.85,https://www.finansportalen.se/bolan/
262,2026-06-16T11:24:51.357030,2026-06-16,Hypoteket,3_man,3 månader,3.31,https://www.finansportalen.se/bolan/
265,2026-06-16T11:24:48.356199,2026-06-16,Hypoteket,5_ar,5 år,3.93,https://www.compricer.se/bolan/
260,2026-06-16T11:24:51.362653,2026-06-16,ICA Banken,1_ar,1 år,3.9,https://www.finansportalen.se/bolan/
261,2026-06-16T11:24:51.364070,2026-06-16,ICA Banken,2_ar,2 år,4.15,https://www.finansportalen.se/bolan/
259,2026-06-16T11:24:51.361196,2026-06-16,ICA Banken,3_man,3 månader,3.48,https://www.finansportalen.se/bolan/
295,2026-06-16T11:24:51.390481,2026-06-16,Länsförsäkringar,1_ar,1 år,3.59,https://www.finansportalen.se/bolan/
296,2026-06-16T11:24:51.392029,2026-06-16,Länsförsäkringar,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
294,2026-06-16T11:24:51.389025,2026-06-16,Länsförsäkringar,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
271,2026-06-16T11:24:51.354122,2026-06-16,SBAB,1_ar,1 år,3.47,https://www.finansportalen.se/bolan/
272,2026-06-16T11:24:51.355570,2026-06-16,SBAB,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
270,2026-06-16T11:24:51.352528,2026-06-16,SBAB,3_man,3 månader,3.15,https://www.finansportalen.se/bolan/
292,2026-06-16T11:24:51.385950,2026-06-16,SEB,1_ar,1 år,3.54,https://www.finansportalen.se/bolan/
293,2026-06-16T11:24:51.387411,2026-06-16,SEB,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
291,2026-06-16T11:24:51.384357,2026-06-16,SEB,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
245,2026-06-16T11:24:51.367113,2026-06-16,Skandia,1_ar,1 år,3.83,https://www.finansportalen.se/bolan/
246,2026-06-16T11:24:51.368498,2026-06-16,Skandia,2_ar,2 år,4.02,https://www.finansportalen.se/bolan/
247,2026-06-16T11:24:48.329096,2026-06-16,Skandia,3_ar,3 år,3.42,https://www.compricer.se/bolan/
244,2026-06-16T11:24:51.365454,2026-06-16,Skandia,3_man,3 månader,3.55,https://www.finansportalen.se/bolan/
248,2026-06-16T11:24:48.330708,2026-06-16,Skandia,5_ar,5 år,3.64,https://www.compricer.se/bolan/
240,2026-06-16T11:24:51.349057,2026-06-16,Stabelo,1_ar,1 år,2.98,https://www.finansportalen.se/bolan/
241,2026-06-16T11:24:51.351007,2026-06-16,Stabelo,2_ar,2 år,3.22,https://www.finansportalen.se/bolan/
242,2026-06-16T11:24:48.318260,2026-06-16,Stabelo,3_ar,3 år,3.34,https://www.compricer.se/bolan/
239,2026-06-16T11:24:51.346753,2026-06-16,Stabelo,3_man,3 månader,2.66,https://www.finansportalen.se/bolan/
243,2026-06-16T11:24:48.319753,2026-06-16,Stabelo,5_ar,5 år,3.49,https://www.compricer.se/bolan/
250,2026-06-16T11:24:51.376233,2026-06-16,Swedbank,1_ar,1 år,3.49,https://www.finansportalen.se/bolan/
251,2026-06-16T11:24:51.377929,2026-06-16,Swedbank,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
252,2026-06-16T11:24:48.336993,2026-06-16,Swedbank,3_ar,3 år,3.09,https://www.compricer.se/bolan/
249,2026-06-16T11:24:51.374463,2026-06-16,Swedbank,3_man,3 månader,3.89,https://www.finansportalen.se/bolan/
253,2026-06-16T11:24:48.338422,2026-06-16,Swedbank,5_ar,5 år,3.48,https://www.compricer.se/bolan/
139,2026-06-15T12:31:54.499608,2026-06-15,Danske Bank,1_ar,1 år,3.39,https://www.finansportalen.se/bolan/
140,2026-06-15T12:31:54.501150,2026-06-15,Danske Bank,2_ar,2 år,3.56,https://www.finansportalen.se/bolan/
141,2026-06-15T12:31:51.266885,2026-06-15,Danske Bank,3_ar,3 år,3.18,https://www.compricer.se/bolan/
138,2026-06-15T12:31:54.498306,2026-06-15,Danske Bank,3_man,3 månader,3.84,https://www.finansportalen.se/bolan/
142,2026-06-15T12:31:51.268983,2026-06-15,Danske Bank,5_ar,5 år,3.03,https://www.compricer.se/bolan/
173,2026-06-15T12:31:54.508227,2026-06-15,Handelsbanken,1_ar,1 år,3.64,https://www.finansportalen.se/bolan/
174,2026-06-15T12:31:54.509913,2026-06-15,Handelsbanken,2_ar,2 år,3.74,https://www.finansportalen.se/bolan/
172,2026-06-15T12:31:54.506832,2026-06-15,Handelsbanken,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
150,2026-06-15T12:31:51.282591,2026-06-15,Handelsbanken,5_ar,5 år,3.6,https://www.compricer.se/bolan/
147,2026-06-15T12:31:54.485373,2026-06-15,Hypoteket,1_ar,1 år,3.69,https://www.finansportalen.se/bolan/
148,2026-06-15T12:31:54.487110,2026-06-15,Hypoteket,2_ar,2 år,3.85,https://www.finansportalen.se/bolan/
146,2026-06-15T12:31:54.483592,2026-06-15,Hypoteket,3_man,3 månader,3.31,https://www.finansportalen.se/bolan/
149,2026-06-15T12:31:51.280848,2026-06-15,Hypoteket,5_ar,5 år,3.93,https://www.compricer.se/bolan/
144,2026-06-15T12:31:54.490363,2026-06-15,ICA Banken,1_ar,1 år,3.9,https://www.finansportalen.se/bolan/
145,2026-06-15T12:31:54.491936,2026-06-15,ICA Banken,2_ar,2 år,4.15,https://www.finansportalen.se/bolan/
143,2026-06-15T12:31:54.488749,2026-06-15,ICA Banken,3_man,3 månader,3.48,https://www.finansportalen.se/bolan/
179,2026-06-15T12:31:54.517348,2026-06-15,Länsförsäkringar,1_ar,1 år,3.59,https://www.finansportalen.se/bolan/
180,2026-06-15T12:31:54.518831,2026-06-15,Länsförsäkringar,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
178,2026-06-15T12:31:54.515903,2026-06-15,Länsförsäkringar,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
155,2026-06-15T12:31:54.480321,2026-06-15,SBAB,1_ar,1 år,3.47,https://www.finansportalen.se/bolan/
156,2026-06-15T12:31:54.481906,2026-06-15,SBAB,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
154,2026-06-15T12:31:54.478761,2026-06-15,SBAB,3_man,3 månader,3.15,https://www.finansportalen.se/bolan/
176,2026-06-15T12:31:54.512992,2026-06-15,SEB,1_ar,1 år,3.54,https://www.finansportalen.se/bolan/
177,2026-06-15T12:31:54.514442,2026-06-15,SEB,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
175,2026-06-15T12:31:54.511562,2026-06-15,SEB,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
129,2026-06-15T12:31:54.495396,2026-06-15,Skandia,1_ar,1 år,3.83,https://www.finansportalen.se/bolan/
130,2026-06-15T12:31:54.496777,2026-06-15,Skandia,2_ar,2 år,4.02,https://www.finansportalen.se/bolan/
131,2026-06-15T12:31:51.250102,2026-06-15,Skandia,3_ar,3 år,3.42,https://www.compricer.se/bolan/
128,2026-06-15T12:31:54.493536,2026-06-15,Skandia,3_man,3 månader,3.55,https://www.finansportalen.se/bolan/
132,2026-06-15T12:31:51.251665,2026-06-15,Skandia,5_ar,5 år,3.64,https://www.compricer.se/bolan/
124,2026-06-15T12:31:54.475317,2026-06-15,Stabelo,1_ar,1 år,2.98,https://www.finansportalen.se/bolan/
125,2026-06-15T12:31:54.477133,2026-06-15,Stabelo,2_ar,2 år,3.22,https://www.finansportalen.se/bolan/
126,2026-06-15T12:31:51.241911,2026-06-15,Stabelo,3_ar,3 år,3.34,https://www.compricer.se/bolan/
123,2026-06-15T12:31:54.472768,2026-06-15,Stabelo,3_man,3 månader,2.66,https://www.finansportalen.se/bolan/
